Surgical mask,face shield,Surgical mask,Chloroquine,R100 mask
Chloroquine,Fabric mask,Fabric mask,Nafamostat,Nirmatrelvir with Ritonavir 
hand gloves,Azithromycin,Azithromycin,Famotidine,Remdesivir (Veklury)
N95 mask ,light P95 mask,R100 mask,Umifenovir,Molnupiravir
N95 mask ,hand sanitiser,water bottle,Ivermectin,Surgical mask
hand gloves,N95 mask ,Chloroquine,N95 mask ,Fabric mask
ppe kits,N95 mask ,Nafamostat,N95 mask ,Azithromycin
sprays,N95 mask ,Famotidine,N95 mask ,Hydroxycloroquine
hand gloves,fabric mask,Umifenovir,ppe kits,Montera-Lx
hand sanitiser,Moderna,Ivermectin,N95 mask ,Chloroquine
Surgical mask,KN95 mask,N95 mask ,N95 mask ,Nafamostat
Surgical mask,N95 mask ,N95 mask ,N95 mask ,Famotidine
Azithromycin,disinfectant,Vitamin C,Covaxin,Umifenovir
Surgical mask,ppe kits,N95 mask ,N95 mask ,Ivermectin
Surgical mask,disinfectant,Booster vaccine,hand sanitiser,Corticosteroids
N95 mask ,fabric mask,Covaxin,hand gloves,Tocilizumab
N95 mask ,Azithromycin,Digital thermometer,Zincovit,Clorox Healthcare Bleach Germicidal Wipes
N95 mask ,Digital thermometer,Azithromycin,,Sani-Cloth Plus Germicidal Disposable Wipes
hand sanitiser,Surgical mask,,body spray,PDI Super Sani-Cloth Germicidal Disposable Wipes
fabric mask,Isolation gowns,Covishield ,Digital thermometerssta,Digital thermometer
ppe kits,,Surgical mask,,CaviWipes
Digital thermometersrmesan Sinopharm ,hand sanitiser,,AstraZeneca COVID-19,Lysol Disinfectant Spray
Montera-Lx,hand sanitiser,Vitamin C,face shield,Clorox Healthcare Bleach Germicidal Spray
Surgical Mask,,N95 mask,,Purell Healthcare Surface Disinfectant Spray
Surgical mask,ppe kits,light P95 mask,disinfectant,Oxivir Tb Spray
N95 mask,hand sanitiser,AstraZeneca COVID-19,Surgical mask,Sporicidin Disinfectant Solution Spray
Zincovit,Remdesivir (Veklury),AstraZeneca COVID-28awberries,magazines,Fluvoxamine
Surgical mask,disinfectant,disinfectant,ppe kits,Bevacizumab
caps and hairnets,hand gloves,,Latex gloves,KN95 mask
N95 mask,AstraZeneca COVID-28ong Sinopharm ,KN95 mask,Nitrile gloves,Pfizer-BioNTech 
sprays,,,Vinyl gloves,Moderna 
Montera-Lx,hand sanitiser,Surgical mask,shoe covers,Johnson & Johnson (Janssen) 
Surgical mask,hand gloves,cottage Sinopharm ,Latex gloves,AstraZeneca COVID-19
Montera-Lx,Montera-Lx,water bottle,Nitrile gloves,Sinovac 
hand sanitiser,Fingertip pulse oximeter,,Vinyl gloves,Covishield 
disinfectant,Moderna,hand sanitiser,,Covaxin 
hand sanitiser,,,,Sputnik V  
Covishield ,N95 mask,Vitamin D,Surgical mask,Sinopharm 
shoe covers,,,,Latex gloves
Covishield ,AstraZeneca COVID-19,hand gloves,Digital thermometerer,Nitrile gloves
Surgical mask,,cereals,,Vinyl gloves
Surgical mask,AstraZeneca COVID-19,,Vitamin D,Polyethylene gloves
AstraZeneca COVID-19,Vitamin C,,clothes accessories,Neoprene gloves
fabric mask,bug spray,water bottle,,Isolation gowns
hand sanitiser,disinfectant,N95 mask,,Surgical masks
disinfectant,hand gloves,ppe kits,,N95 respirators
hand sanitiser,disinfectant,,Remdesivir (Veklury),Face shields
hand sanitiser,Surgical mask,,,Shoe covers
hand gloves,disinfectant,Moderna,,Caps and hairnets
Remdesivir (Veklury),disinfectant,,,Full-body suits
caps and hairnets,shoe covers,N95 mask,,Butyl rubber gloves
ppe kits,light mayo,,,Purell Advanced Hand Sanitizer
Covishield ,disinfectant,gums,Booster vaccine,Germ-X Original Hand Sanitizer
caps and hairnets,sprays,Surgical mask,,Equate Hand Sanitizer
hand sanitiser,Vitamin C,,soda,Bath and Body Works Pocketbac Hand Sanitizer
clothes accessories,N95 mask,,cider,Babyganics Alcohol-Free Foaming Hand Sanitizer
energy drink,,,,Medex Hand Sanitizer
Covishield ,,R100 mask,,EO Hand Sanitizer Spray
caps and hairnets,,,,ArtNaturals Hand Sanitizer Gel
hand gloves,bug spray,,protein bar,Megababe Squeaky Clean Hand Sanitizer
disinfectant,ppe kits,,,NxN Unscented Hand Sanitizer Gel.
Zincovit,,Montera-Lx,,R99 mask
sprays,face shield,,,R100 mask
Azithromycin,whole wheat Digital thermometerssta,,Surgical mask,N95 mask
Isolation gowns,,Booster vaccine,,N99 mask
fabric mask,Digital thermometerssta,R100 mask,,N100 mask
sprays,Zincovit,,Remdesivir (Veklury),P95 mask
yogurt Fingertip pulse oximeter,shoe covers,,,P99 mask
Covishield ,,,,P100 mask
sprays,,,,R95 mask
Surgical mask,ppe kits,Chloroquine,,R99 mask
ppe kits,,,,Sodium hypochlorite
Isolation gowns,disinfectant,hand sanitiser,,Hydrogen peroxide
mint,AstraZeneca COVID-28awberries,,,Isopropyl alcohol
ppe kits,Montera-Lx,hand gloves,Surgical mask,Vitamin C
fabric mask,,face shield,,Vitamin D
Surgical mask,Fingertip pulse oximeter,butter,,Vitamin E
fabric mask,hand sanitiser,Zincovit,hand gloves,Vitamin B12
Moderna ,Moderna ,,hand gloves,Vitamin B6
Moderna ,Isolation gowns,,Surgical mask,Vitamin A
